Net-Reward,Reached
3.6,1
3.25,1
4.5,1
1.75,0
4.1,1
4.0,1
3.0833333333333335,0
5.4,1
4.285714285714286,1
5.0,1
3.25,1
4.0,1
4.5,1
4.5,1
4.0,1
3.0,1
4.0,1
4.0,1
4.5,1
4.0,0
2.5454545454545454,1
4.875,1
4.5,1
3.8,1
3.5,1
4.0,1
1.9444444444444444,1
2.75,1
3.4285714285714284,1
5.6,1
4.5,1
3.25,1
4.5,1
3.6666666666666665,1
3.1666666666666665,1
3.5,1
3.4285714285714284,1
3.125,1
4.333333333333333,1
4.0,1
3.8,1
4.1,1
4.166666666666667,1
2.6363636363636362,0
3.4285714285714284,1
3.6666666666666665,1
6.0,1
3.6666666666666665,1
4.5,1
3.25,1
4.5,1
4.0,1
4.5,1
4.0,1
3.5,1
4.5,1
1.875,0
2.2857142857142856,1
3.642857142857143,1
6.0,1
2.2,0
4.0,1
4.0,1
2.3333333333333335,1
2.2,0
6.0,1
4.0,1
1.9,0
3.25,1
2.727272727272727,1
3.9166666666666665,1
4.0,1
4.5,1
6.875,1
3.3333333333333335,1
4.0,1
5.875,1
4.25,1
1.9545454545454546,1
2.7,1
4.5,1
4.0,1
4.5,1
3.0,1
4.5,1
4.5,1
4.8,1
4.5,1
5.083333333333333,1
3.2083333333333335,1
6.642857142857143,1
5.75,1
4.6,1
3.0833333333333335,1
6.1,1
3.9166666666666665,1
5.6875,0
5.875,1
6.214285714285714,1
5.4,1
