Net-Reward,Reached
0.5,0
4.916666666666667,1
3.4375,1
4.5,1
4.0,1
2.6666666666666665,1
6.166666666666667,1
4.8,1
7.2,1
3.6666666666666665,1
3.0,1
3.4285714285714284,1
4.8,0
4.5,1
4.583333333333333,1
3.4285714285714284,1
4.0,1
2.0833333333333335,0
2.7142857142857144,1
4.5,1
2.2857142857142856,1
5.1,1
5.25,1
4.0,1
3.25,1
4.214285714285714,1
4.0,1
3.25,1
4.666666666666667,1
4.5,1
4.8,1
4.8,1
3.25,1
4.0,1
4.5,1
2.7,1
3.6666666666666665,1
4.416666666666667,1
5.875,1
4.5,1
4.428571428571429,1
3.111111111111111,1
4.625,1
4.583333333333333,1
4.5,1
4.5,1
3.4285714285714284,1
4.8,0
3.6666666666666665,1
3.25,1
4.5,1
5.5,1
5.0,1
3.1666666666666665,0
3.6666666666666665,1
3.2857142857142856,1
4.25,1
2.125,0
4.3,1
4.071428571428571,1
4.0,1
4.25,1
3.111111111111111,1
4.0,1
4.875,0
3.25,1
4.0,1
3.8,1
3.25,1
4.9,1
4.5,1
4.5,1
4.5,1
4.5,1
4.0,1
3.4285714285714284,1
4.0,1
2.875,0
3.4285714285714284,1
4.4,1
3.1666666666666665,1
5.25,1
2.2857142857142856,1
3.25,1
1.625,1
4.0,1
3.6666666666666665,1
3.2777777777777777,1
3.4285714285714284,1
4.0,1
4.25,1
5.5,1
3.2857142857142856,1
2.909090909090909,1
3.111111111111111,1
4.5,1
4.0,1
4.5,1
4.166666666666667,1
6.25,1
