Net-Reward,Reached
0.875,0
1.4,0
-0.1,0
-0.375,0
-0.1,0
5.357142857142857,1
3.25,1
3.9166666666666665,1
3.111111111111111,1
2.8125,1
3.4285714285714284,1
4.5,1
4.5,1
4.5,1
3.6666666666666665,1
3.111111111111111,1
4.5,1
2.9375,1
3.0,1
3.6666666666666665,1
3.0,1
4.0,1
3.4285714285714284,1
4.5,1
3.25,1
1.9375,1
3.3,1
4.5,1
3.6666666666666665,1
4.0,1
3.6666666666666665,1
4.5,1
4.5,1
4.0,1
4.5,1
3.75,1
3.642857142857143,1
4.5,1
3.4285714285714284,1
4.0,1
4.5,1
3.857142857142857,1
4.214285714285714,1
3.25,1
3.6666666666666665,1
3.111111111111111,1
4.5,1
3.6666666666666665,1
3.4285714285714284,1
3.6,1
3.4285714285714284,1
4.0,1
4.0,1
3.4285714285714284,1
4.5,1
4.5,1
4.8,1
4.5,1
4.214285714285714,1
3.9285714285714284,0
4.5,1
3.25,1
3.25,1
3.4285714285714284,1
3.25,1
4.5,1
4.5,1
3.25,1
4.3,1
4.0,1
3.6666666666666665,1
4.5,1
3.125,1
3.625,1
3.25,1
4.0,1
2.888888888888889,1
4.5,1
3.6666666666666665,1
4.0,1
3.25,1
3.6666666666666665,1
3.0714285714285716,1
4.0,1
4.5,1
4.0,1
4.0,1
4.5,1
3.6666666666666665,1
4.0,1
1.9444444444444444,1
3.6666666666666665,1
3.125,1
3.9375,1
3.25,1
5.875,1
4.5,1
3.75,1
3.25,1
3.5,1
