Net-Reward,Reached
-0.5,0
-0.16666666666666666,0
0.0,0
3.5,1
4.333333333333333,1
5.5,1
4.25,1
3.4285714285714284,1
4.875,1
4.5,1
3.1875,1
3.4285714285714284,1
4.0,1
4.5,1
4.6,1
3.6666666666666665,1
3.55,1
3.4285714285714284,1
4.5,1
5.5,1
4.8,1
4.0,1
4.875,1
3.6666666666666665,1
3.4285714285714284,1
2.857142857142857,1
5.5,1
4.0,1
4.5,1
3.6666666666666665,1
2.8333333333333335,1
5.5,1
3.25,1
4.0,1
4.5,1
3.0714285714285716,1
3.0,1
3.8,1
2.357142857142857,1
6.0,1
1.5454545454545454,1
3.5,1
5.1,1
5.142857142857143,1
4.428571428571429,1
5.4,1
5.8,1
5.285714285714286,1
2.125,1
4.583333333333333,1
2.2777777777777777,1
4.5,1
4.0625,1
2.75,1
2.55,1
6.0,1
7.25,1
3.5,1
4.6875,1
2.2222222222222223,1
2.888888888888889,1
4.0,1
4.5,1
4.5,1
3.8,1
2.85,1
4.5625,1
6.75,0
4.5,1
6.2,1
2.8125,1
3.5,1
5.25,1
4.625,1
3.875,1
5.083333333333333,1
3.7142857142857144,1
8.25,1
5.5,1
3.7777777777777777,1
7.0,1
3.375,1
5.8,1
5.2,1
3.75,1
4.9,1
6.375,1
5.875,1
3.7142857142857144,1
4.375,1
8.75,1
8.25,1
6.166666666666667,0
2.4583333333333335,1
4.666666666666667,1
4.0,1
7.3,1
6.875,1
1.9375,1
6.125,0
