Net-Reward,Reached
3.1,1
3.8125,0
4.0,1
-0.5,0
-0.16666666666666666,0
2.642857142857143,1
3.8,1
1.6875,0
4.333333333333333,1
0.0,0
1.5,0
0.4,0
4.0,1
1.375,0
4.5,1
-0.125,0
3.7142857142857144,1
4.0,1
4.5,1
3.9375,1
4.166666666666667,1
4.333333333333333,1
0.6,0
1.0,0
-0.1,0
0.0,0
0.0,0
0.8571428571428571,0
4.214285714285714,1
3.3333333333333335,1
3.6666666666666665,1
4.0,1
4.0,1
2.3333333333333335,1
5.875,1
4.5,1
5.875,1
3.5,1
4.0,1
5.875,1
3.4285714285714284,1
4.3,1
4.0,1
3.2857142857142856,1
3.125,1
3.4285714285714284,1
4.0,1
3.5,1
4.0,1
4.875,1
4.5,1
4.5,1
3.0714285714285716,1
4.0,1
4.5,1
4.5,1
4.5,1
5.5,1
4.0,1
3.6666666666666665,1
3.25,1
4.875,0
4.8,1
5.1,1
4.5,1
3.25,1
3.111111111111111,1
3.0,1
3.25,1
4.0,1
2.1,1
3.0,1
3.6666666666666665,1
3.0833333333333335,1
3.0,1
3.6666666666666665,1
2.9375,1
3.4285714285714284,1
3.6666666666666665,1
3.25,1
3.0,1
4.0,1
3.4285714285714284,1
3.111111111111111,1
4.5,1
4.25,1
4.8,1
4.0,1
4.5,1
3.25,1
2.6666666666666665,1
3.125,1
3.2857142857142856,1
4.0,1
4.0,1
4.25,1
3.15,1
3.6666666666666665,1
4.5,1
3.6666666666666665,1
