Net-Reward,Reached
3.0,1
0.2857142857142857,0
4.214285714285714,1
0.25,0
4.5,1
0.3333333333333333,0
3.7222222222222223,1
3.111111111111111,1
4.0,1
3.25,1
0.6,0
0.0,0
2.7,0
4.8,1
-0.1111111111111111,0
4.0,1
4.5,1
3.6666666666666665,1
4.5,1
3.4285714285714284,1
3.25,1
4.5,1
4.5,1
2.8333333333333335,1
4.5,1
4.0,1
4.0,1
3.125,1
3.4285714285714284,1
4.5,1
4.0,1
3.4285714285714284,1
3.25,1
2.888888888888889,1
4.5,1
3.2857142857142856,1
4.5,1
4.0,1
4.333333333333333,1
3.125,1
3.5,1
2.75,1
4.8,1
3.6666666666666665,1
4.8,1
3.4285714285714284,1
3.6666666666666665,1
3.142857142857143,1
3.25,1
1.95,1
3.409090909090909,1
3.25,1
4.5,1
4.5,1
3.875,1
4.6,1
3.6666666666666665,1
3.6666666666666665,1
4.214285714285714,1
1.9375,1
5.5,1
4.0,1
3.2857142857142856,1
2.9375,1
4.642857142857143,1
3.5555555555555554,1
4.0,1
4.5,1
4.0,1
4.25,1
4.5,1
3.6666666666666665,1
4.625,1
3.6666666666666665,1
3.4285714285714284,1
4.0,1
3.125,1
3.6666666666666665,1
4.0,1
5.9,1
4.5,1
4.3,1
2.75,1
5.2,1
4.0,1
2.4375,1
4.0,1
1.9583333333333333,1
3.125,1
2.3333333333333335,1
4.1875,1
4.3,1
4.583333333333333,1
3.75,1
3.125,1
3.6666666666666665,1
2.75,1
4.166666666666667,1
4.25,1
3.6666666666666665,1
