Net-Reward,Reached
4.0,1
3.875,1
4.333333333333333,1
3.25,1
3.6666666666666665,1
4.0,1
4.5,1
3.4285714285714284,1
4.5,1
4.5,1
4.0,1
4.25,1
4.5,1
3.6666666666666665,1
4.0,1
4.333333333333333,1
3.4285714285714284,1
7.5,0
4.25,1
3.6666666666666665,1
4.0,1
3.0,1
4.333333333333333,1
4.0,1
5.2,1
4.0,1
3.6666666666666665,1
4.5,1
4.125,1
3.3125,1
5.5,1
3.8,1
4.5,1
4.0,1
4.5,1
4.0,1
4.0,0
3.25,1
4.1,1
1.9285714285714286,1
2.9,0
5.25,1
2.8333333333333335,1
3.6666666666666665,1
4.5,1
3.25,1
3.75,1
4.4,1
4.583333333333333,0
6.75,1
5.9,0
5.083333333333333,1
4.714285714285714,1
7.375,1
4.0,1
1.4375,1
7.9,1
5.375,1
5.1,1
5.625,1
4.9,1
5.375,0
5.5,1
2.2777777777777777,1
4.75,1
3.25,1
5.666666666666667,1
3.875,1
7.3,0
8.375,1
7.166666666666667,1
4.5,1
4.875,1
3.75,1
7.0,0
4.875,1
7.25,1
5.25,1
5.5,1
4.363636363636363,1
6.416666666666667,1
4.5,0
3.5833333333333335,1
6.3,1
5.4,0
5.875,1
3.5833333333333335,1
4.625,1
3.45,1
6.25,1
4.583333333333333,1
4.6,1
6.25,1
6.0,1
3.5,1
4.5,1
3.642857142857143,1
6.1,0
6.25,1
3.3333333333333335,1
