Net-Reward,Reached
1.6428571428571428,1
1.0,1
-3.0,0
0.625,0
0.625,0
1.4375,1
0.625,0
-0.875,0
1.2,0
-2.125,0
-1.375,0
-1.8,0
-1.2857142857142858,0
2.0,0
1.05,1
-2.1,0
0.125,0
-0.375,0
2.25,1
-0.7,0
4.0,1
0.375,0
2.857142857142857,1
2.375,0
1.1875,1
-0.35,0
-1.0,0
0.125,0
2.625,1
-1.8,0
0.4444444444444444,1
0.625,0
-0.6666666666666666,0
-1.625,0
0.42857142857142855,0
0.5833333333333334,0
-0.5833333333333334,0
0.25,0
-1.6666666666666667,0
-1.6428571428571428,0
-0.1,0
0.5,0
0.08333333333333333,0
2.2857142857142856,1
4.25,1
-2.0,0
1.5,0
-1.0,0
1.25,0
0.3333333333333333,1
-1.625,0
0.16666666666666666,0
0.2222222222222222,0
0.4375,0
1.5,1
5.375,1
-0.9285714285714286,0
-0.16666666666666666,0
-2.1,0
0.6875,1
1.5,1
-1.3,0
-1.2,0
-0.8571428571428571,0
0.4166666666666667,0
-0.5,0
-0.25,0
1.5,0
-1.75,0
-1.0714285714285714,0
-1.25,0
0.42857142857142855,0
-0.625,0
0.75,0
-2.0,0
0.75,0
1.9166666666666667,1
0.25,0
0.3888888888888889,1
-0.5714285714285714,0
-1.375,0
-0.1875,0
-1.25,0
-1.875,0
3.125,1
1.1,0
-1.3125,0
1.875,0
-0.25,0
-0.75,0
-0.375,0
0.3333333333333333,0
-0.1,0
-0.875,0
-0.6666666666666666,0
-1.5,0
-0.375,0
-1.6,0
-0.75,0
0.5,1
