Net-Reward,Reached
3.25,1
4.583333333333333,1
5.0,1
4.75,1
4.0,1
3.5,1
4.5,1
4.0,1
4.5,1
3.4285714285714284,1
4.875,1
4.5,1
2.3333333333333335,1
3.25,1
3.2857142857142856,1
2.6666666666666665,1
3.5,1
2.2777777777777777,1
3.6666666666666665,1
3.75,1
3.8,1
4.0,1
3.6666666666666665,1
3.6666666666666665,1
4.3,1
4.0,1
2.8181818181818183,1
3.9166666666666665,1
4.875,1
3.5,1
3.2857142857142856,1
4.6,1
3.875,1
2.6818181818181817,1
4.0,1
4.5,1
2.727272727272727,1
4.8,1
3.6666666666666665,1
3.6666666666666665,1
4.5,1
4.5,1
3.2857142857142856,1
3.25,1
4.0,1
4.8,1
4.0,1
2.8333333333333335,1
4.8,1
4.0,1
4.5,1
4.5,1
4.5,1
4.5,1
4.5,1
3.4285714285714284,1
3.25,1
4.5,1
2.75,1
3.4285714285714284,1
3.8,1
4.5,1
3.75,1
4.5,1
4.0,1
3.4285714285714284,1
3.2777777777777777,1
3.75,1
4.0,1
4.8,1
4.5,1
4.5,1
5.5,1
4.5,1
5.5,1
3.6,1
3.0714285714285716,1
2.8333333333333335,1
4.5,1
3.4444444444444446,1
3.0,1
4.0,1
4.5,1
4.5,1
4.0,1
3.4285714285714284,1
3.6666666666666665,1
3.25,1
3.25,1
3.4285714285714284,1
4.0,1
4.5,1
4.25,1
4.5,1
3.4285714285714284,1
4.5,1
4.5,1
3.75,1
4.0,1
4.5,1
