Net-Reward,Reached
0.2857142857142857,0
-1.75,0
-0.625,0
1.0714285714285714,1
0.9285714285714286,1
0.8,0
1.5,0
0.07142857142857142,0
0.2222222222222222,0
-1.25,0
1.6428571428571428,1
-0.7857142857142857,0
3.1,1
-0.625,0
0.0,0
-1.625,0
-1.0,0
-1.8333333333333333,0
-1.4,0
0.95,1
1.1,0
3.625,1
1.1428571428571428,1
0.7,0
1.9375,1
0.1875,0
0.5,0
-1.6,0
0.4,0
1.9375,1
-0.35714285714285715,0
-0.42857142857142855,0
0.25,0
-0.9,0
-2.4166666666666665,0
2.2,0
2.1,0
3.1666666666666665,1
0.0,1
-0.25,0
2.25,1
-0.75,0
-0.25,0
-1.625,0
-2.6,0
1.1428571428571428,0
-0.2857142857142857,0
1.0833333333333333,0
-1.6875,0
0.0,0
-2.2,0
0.6428571428571429,0
-2.5833333333333335,0
-0.35714285714285715,0
-2.9,0
1.5833333333333333,0
-2.875,0
0.75,1
0.0,0
-0.5,0
1.5714285714285714,1
-0.875,0
2.0714285714285716,1
-0.5,0
2.5833333333333335,1
1.6,0
0.35,1
1.6666666666666667,1
-0.875,0
-1.25,0
1.5,1
0.35714285714285715,0
1.0714285714285714,1
-0.21428571428571427,0
-1.25,0
-0.3333333333333333,0
1.375,1
-0.2,0
1.875,0
-2.2777777777777777,0
-1.1,0
-1.1666666666666667,0
-0.9,0
-3.375,0
1.7777777777777777,1
-0.5,0
-0.08333333333333333,0
-2.125,0
-3.625,0
-0.9,0
3.75,1
1.25,1
-1.5,0
-0.75,0
4.125,1
2.9,1
-0.9285714285714286,0
-0.5,0
-0.16666666666666666,0
0.6428571428571429,0
