Net-Reward,Reached
0.5,0
1.8125,1
0.42857142857142855,0
-0.2222222222222222,1
-0.875,0
-0.35714285714285715,0
0.08333333333333333,0
0.0,0
-1.75,0
-0.625,0
-0.375,0
0.8125,1
-0.4166666666666667,0
3.125,1
0.6,0
-0.21428571428571427,0
-0.5,0
0.8333333333333334,1
-0.55,0
-0.625,0
-1.0,0
-0.16666666666666666,0
2.0,1
-1.9,0
-0.5,0
1.2857142857142858,1
-0.625,0
0.8333333333333334,0
2.0,1
-0.4,0
0.6,0
-0.2,0
-1.8571428571428572,0
2.9,1
0.6875,1
0.5,1
2.625,1
2.0,0
-1.7222222222222223,0
3.5,1
-1.125,0
-0.2777777777777778,0
0.0,0
0.2777777777777778,0
-1.1,0
1.5714285714285714,1
0.75,1
-0.3,0
-0.7857142857142857,0
-1.7777777777777777,0
-0.9,0
-2.625,0
-0.7,0
-0.9166666666666666,0
1.9166666666666667,1
3.125,1
0.8,0
-0.6,0
-0.3333333333333333,0
1.25,0
0.375,0
2.0,1
1.2,1
0.0,0
1.5,1
1.3,0
0.5,0
0.5,0
1.3571428571428572,1
-1.75,0
1.3571428571428572,1
0.2857142857142857,0
0.08333333333333333,1
1.0,0
0.0,0
-0.7857142857142857,0
1.5833333333333333,1
0.07142857142857142,0
-0.3333333333333333,0
0.625,0
3.625,1
0.05555555555555555,0
-1.4,0
1.9,1
0.875,0
1.6,0
-1.0833333333333333,0
1.4375,1
-0.4166666666666667,0
2.2,1
-0.25,0
0.42857142857142855,0
-1.375,0
-0.4166666666666667,0
-0.0625,0
0.5,0
-0.875,0
-0.6666666666666666,0
-1.8333333333333333,0
-0.21428571428571427,0
