Net-Reward,Reached
3.2222222222222223,1
4.25,1
4.5,1
3.6666666666666665,1
3.125,1
4.0,1
3.4285714285714284,1
2.888888888888889,1
3.6666666666666665,1
4.0,1
3.75,1
3.111111111111111,1
4.0,1
3.142857142857143,1
4.0,1
3.875,1
3.111111111111111,1
3.0,0
4.166666666666667,1
3.25,1
3.4285714285714284,1
3.5,1
2.142857142857143,1
4.0,1
3.9166666666666665,1
3.8,1
2.7142857142857144,1
4.5,1
3.6666666666666665,1
4.5,1
3.111111111111111,1
5.2,0
4.5,1
3.5,1
3.111111111111111,1
3.25,1
4.5,1
6.625,1
3.4375,1
4.583333333333333,1
4.0,1
4.5,1
3.2857142857142856,1
3.4285714285714284,1
4.0,1
3.4285714285714284,1
3.25,1
3.2857142857142856,1
3.8,1
3.6666666666666665,1
4.0,1
3.4285714285714284,1
3.25,1
4.055555555555555,1
4.6,1
5.5,1
3.2,1
5.875,1
6.875,1
7.0,1
2.4375,1
3.75,1
8.75,0
3.875,1
3.0,1
4.0,1
3.0555555555555554,1
4.785714285714286,1
6.625,1
3.5625,1
5.8,1
3.25,1
8.1,1
2.7142857142857144,1
4.5,1
3.642857142857143,1
7.285714285714286,1
4.833333333333333,1
6.571428571428571,1
5.625,1
6.666666666666667,1
5.375,1
4.916666666666667,1
5.0,1
6.625,1
2.4285714285714284,1
4.6,1
6.5,0
4.0,1
4.666666666666667,1
3.8125,1
4.875,1
8.4,1
6.833333333333333,1
5.416666666666667,1
2.9444444444444446,1
4.125,1
3.0,1
7.625,1
3.1666666666666665,1
