Net-Reward,Reached
0.5714285714285714,0
3.375,0
0.8571428571428571,0
-0.2,0
0.875,0
0.5,0
3.25,1
4.0,1
4.5,1
3.6666666666666665,1
4.8,1
4.5,1
2.357142857142857,1
1.5714285714285714,1
2.25,1
5.666666666666667,0
3.0,1
2.7777777777777777,1
5.5,1
5.3,1
2.375,1
3.0,1
3.875,1
3.3333333333333335,1
2.5714285714285716,0
4.1,1
3.0,0
3.5,0
2.357142857142857,1
5.071428571428571,1
3.9,1
4.166666666666667,1
2.375,0
4.083333333333333,0
4.125,1
5.75,1
4.375,1
2.4,0
1.7857142857142858,1
3.4285714285714284,0
5.0,1
3.5,1
2.7,1
3.625,1
1.125,0
5.416666666666667,1
4.333333333333333,1
3.4,0
3.9285714285714284,0
4.625,1
3.0,0
8.0,1
3.75,0
2.125,1
5.0,1
4.3,1
2.357142857142857,0
3.35,1
3.2857142857142856,1
3.0,1
5.166666666666667,1
4.125,1
6.3,0
5.375,1
5.357142857142857,1
4.5,1
2.111111111111111,1
-0.75,0
5.583333333333333,1
4.5,1
4.25,1
3.875,1
2.3125,1
5.1,1
4.0,0
3.142857142857143,1
3.6666666666666665,0
3.4285714285714284,1
5.666666666666667,0
4.9,1
4.1,1
3.727272727272727,1
4.214285714285714,1
2.5,1
2.5,1
4.285714285714286,1
3.0,1
7.416666666666667,1
7.8,0
6.0,0
4.071428571428571,1
4.8,1
8.3,0
5.083333333333333,1
4.5,1
3.8125,1
5.5,1
4.9,1
5.2,1
4.142857142857143,1
