Net-Reward,Reached
-1.0,0
0.0,0
0.0,0
0.5,0
4.5,1
0.9166666666666666,0
1.3333333333333333,0
4.875,1
-0.375,0
3.642857142857143,1
4.166666666666667,1
4.9,1
4.3,1
3.9444444444444446,1
4.5,1
4.583333333333333,1
5.875,1
4.5,1
4.0,1
3.25,1
4.3,1
4.0,1
3.642857142857143,1
3.4285714285714284,1
3.4285714285714284,1
4.5,1
3.111111111111111,1
3.2857142857142856,1
4.25,1
4.5,1
4.3,1
4.0,1
5.125,1
3.25,1
3.0,1
3.8,1
5.1,1
4.428571428571429,1
3.642857142857143,1
4.5,1
5.25,1
3.6666666666666665,1
5.25,1
4.375,1
4.0,1
3.0714285714285716,1
3.2857142857142856,1
3.857142857142857,1
3.642857142857143,1
3.0,1
3.6666666666666665,1
2.75,1
4.25,1
4.25,1
4.0,1
5.5,1
5.1,1
3.4375,0
3.75,0
3.5,1
2.625,1
5.416666666666667,0
5.625,1
4.875,1
4.75,0
3.875,1
6.0,0
4.6,1
5.285714285714286,0
7.0,0
8.0,1
5.166666666666667,1
6.6,0
5.5,1
4.214285714285714,1
6.875,0
6.875,1
6.142857142857143,0
6.611111111111111,0
6.25,0
3.5,0
4.6875,0
4.25,1
5.875,1
5.0625,1
7.5,0
5.25,1
6.375,1
4.583333333333333,0
4.4,0
3.0625,1
6.125,1
3.5,0
6.9,0
3.375,1
4.416666666666667,1
6.857142857142857,1
4.5,1
4.416666666666667,1
2.5833333333333335,1
