Net-Reward,Reached
1.9166666666666667,1
3.8,1
5.8,1
1.0,0
1.6,0
1.25,0
0.25,0
4.5,1
3.25,1
-0.1,0
1.25,0
1.75,0
4.0,1
1.7222222222222223,0
-0.2222222222222222,0
3.4285714285714284,1
4.0,1
1.3571428571428572,0
3.6666666666666665,1
4.25,1
3.0,1
3.4285714285714284,1
3.4285714285714284,1
3.25,1
3.6666666666666665,1
4.0,1
4.5,1
4.5,1
4.25,1
3.142857142857143,1
3.4285714285714284,1
3.9166666666666665,1
3.25,1
3.15,1
3.6666666666666665,1
4.5,1
3.6666666666666665,1
4.583333333333333,1
3.0,1
4.25,1
4.0,1
3.875,1
4.5,1
3.4285714285714284,1
3.3333333333333335,1
4.5,1
4.0,1
3.6666666666666665,1
3.25,1
3.0833333333333335,1
4.0,1
2.888888888888889,1
3.875,1
3.0,1
4.875,1
4.0,1
4.5,1
3.875,1
3.6666666666666665,1
4.25,1
3.6666666666666665,1
3.5,1
3.5,1
4.0,1
3.142857142857143,1
3.25,1
3.6666666666666665,1
4.5,1
4.0,1
3.6666666666666665,1
4.5,1
2.1363636363636362,1
4.5,1
5.9,1
3.8,1
4.25,1
3.4285714285714284,1
3.4285714285714284,1
5.5,1
3.111111111111111,1
3.25,1
3.0,1
3.4285714285714284,1
3.5,1
3.25,1
4.0,1
4.0,1
2.65,1
3.4285714285714284,1
3.6666666666666665,1
4.0,1
4.5,1
3.6666666666666665,1
3.75,1
3.25,1
4.5,1
4.5,1
3.4285714285714284,1
4.0,1
3.6666666666666665,1
