Net-Reward,Reached
1.7,1
0.08333333333333333,1
-1.6,0
0.375,0
1.5833333333333333,0
-1.75,0
-0.6875,0
-0.4,0
-0.125,0
-1.375,0
1.1875,1
-1.375,0
-0.3,0
-1.2142857142857142,0
-1.1,0
2.7,1
0.0,0
0.5,0
-0.875,0
1.9,1
-1.1666666666666667,0
-0.8333333333333334,0
0.25,0
0.5,0
-0.4,0
-1.0,0
-0.6666666666666666,0
0.0,0
-0.20833333333333334,0
0.875,0
-0.625,0
0.375,0
-1.25,0
0.0,0
-0.14285714285714285,0
-0.5833333333333334,0
-0.625,0
1.3571428571428572,1
-1.6,0
-0.7,0
-1.0,0
-0.7777777777777778,0
-0.7777777777777778,0
0.9166666666666666,0
0.5,0
-1.9166666666666667,0
-1.7142857142857142,0
-0.3333333333333333,0
-0.1111111111111111,0
-1.7,0
-1.25,0
-0.5833333333333334,0
-1.0,0
1.0,0
-0.625,0
2.1,1
1.25,0
0.6666666666666666,0
1.5,0
-1.1666666666666667,0
-1.125,0
-1.45,0
0.375,0
0.6428571428571429,0
-1.2,0
-1.0,0
-2.625,0
-0.9166666666666666,0
-1.5,0
2.3,0
3.25,0
0.7857142857142857,0
-0.75,0
-1.4166666666666667,0
-0.1111111111111111,0
0.5,0
-0.8333333333333334,0
-2.0,0
0.375,0
0.5,0
-2.1,0
-0.16666666666666666,0
-0.35714285714285715,0
1.9,1
0.875,0
-1.4285714285714286,0
1.0,1
-0.25,0
0.9090909090909091,1
0.21428571428571427,0
-1.5,0
0.6875,1
0.25,0
1.2222222222222223,1
-0.5,0
-0.16666666666666666,0
-0.1,0
-1.1666666666666667,0
-0.7,0
-1.8333333333333333,0
