Net-Reward,Reached
-0.42857142857142855,0
-0.5,0
3.9166666666666665,1
2.5714285714285716,0
3.25,1
-0.2857142857142857,0
0.75,0
0.0,0
5.5,1
3.5,1
4.3,1
4.5,1
3.642857142857143,1
3.3,1
3.6666666666666665,1
3.6666666666666665,1
3.0714285714285716,1
4.0,1
3.6666666666666665,1
4.5,1
4.5,1
3.5,1
4.0,1
4.5,1
3.4285714285714284,1
4.5,1
2.9,1
3.5,1
3.4285714285714284,1
3.8,1
5.9,0
4.0,1
3.25,1
4.0,1
3.25,1
3.111111111111111,1
5.571428571428571,1
2.888888888888889,1
4.0,1
4.0,1
5.5,1
4.5,1
4.5,1
4.666666666666667,1
4.875,1
5.5,1
4.583333333333333,1
5.214285714285714,1
3.4285714285714284,1
3.8125,1
3.642857142857143,1
3.4285714285714284,1
4.5,1
4.5,1
3.4285714285714284,1
4.5,1
2.8125,1
3.6666666666666665,1
4.0,1
4.0,1
4.0,1
4.0,1
4.5,1
3.2857142857142856,1
4.0,1
4.5,1
3.8,1
2.7222222222222223,1
4.0,1
4.5,1
4.0,1
4.5,1
3.5,1
3.5,1
3.25,1
3.6666666666666665,1
5.5,1
2.75,1
3.6666666666666665,1
3.0,0
4.5,1
4.0,1
4.0,1
4.3,1
5.5,1
3.25,1
3.0,1
3.642857142857143,1
4.166666666666667,1
4.5,1
3.25,1
4.3,1
3.6666666666666665,1
3.25,1
4.5,1
4.5,1
3.25,1
4.0,1
3.25,1
3.6666666666666665,1
