Net-Reward,Reached
2.8333333333333335,1
4.0,1
1.25,0
0.5,0
0.9285714285714286,0
3.5,1
3.5,1
4.875,0
4.0,1
3.6666666666666665,1
3.6666666666666665,1
3.111111111111111,1
3.125,1
3.111111111111111,1
4.875,1
3.9545454545454546,1
4.5,1
4.0,1
3.25,1
4.3,1
3.642857142857143,1
3.9375,1
3.6666666666666665,1
3.4375,1
3.5,1
3.611111111111111,1
5.25,1
5.214285714285714,0
4.5,1
2.5555555555555554,1
7.625,1
6.25,1
6.0,1
3.8333333333333335,1
3.2,1
5.25,1
4.642857142857143,1
2.7777777777777777,1
8.625,1
6.375,1
5.875,1
2.9285714285714284,1
4.6,1
3.8333333333333335,1
7.7,1
3.875,1
4.357142857142857,1
3.875,1
3.8125,1
4.714285714285714,1
5.5,1
5.875,1
7.416666666666667,1
7.3,1
7.25,1
5.875,1
6.1,1
2.5,1
5.833333333333333,1
4.5,1
5.083333333333333,1
6.0,1
2.55,1
7.625,1
6.375,1
7.25,1
4.6,1
3.5,1
2.75,1
5.071428571428571,1
7.4,1
5.428571428571429,1
2.5,1
6.625,1
4.875,1
5.75,1
3.2857142857142856,1
4.833333333333333,0
5.333333333333333,1
5.333333333333333,1
4.142857142857143,1
4.6875,1
5.5,0
5.1,1
5.2,1
5.5,1
4.8,1
5.3,1
6.0,0
6.0625,1
2.8333333333333335,1
5.375,1
6.875,0
3.0,1
2.0,0
1.5,0
5.0,1
4.875,1
3.0,1
4.875,0
