Net-Reward,Reached
-0.625,0
-0.3,0
0.0,0
-0.625,0
0.5625,0
1.25,0
4.5,1
3.111111111111111,1
4.5,1
4.875,1
3.590909090909091,0
4.6875,1
5.4,1
3.25,1
3.5833333333333335,1
4.583333333333333,1
4.416666666666667,1
7.625,1
5.285714285714286,1
2.125,1
3.75,1
5.5,1
6.625,1
5.666666666666667,0
3.25,1
4.833333333333333,1
4.875,1
3.5,1
5.166666666666667,1
2.142857142857143,1
8.375,1
5.5,1
2.5,1
3.9166666666666665,1
2.142857142857143,1
3.5,1
4.25,1
5.625,1
2.2142857142857144,1
5.5,1
5.875,1
2.15,1
4.6,1
2.8333333333333335,1
4.416666666666667,1
8.25,1
2.375,1
4.166666666666667,1
2.1666666666666665,1
3.0,1
3.6666666666666665,1
2.142857142857143,1
2.4444444444444446,1
2.3125,1
2.25,1
3.5,1
6.5,1
3.2857142857142856,1
4.5,1
3.642857142857143,1
6.3,1
4.5,1
5.875,1
3.0,1
3.7777777777777777,1
5.875,1
6.5,1
1.9285714285714286,1
2.55,1
3.0,1
4.6875,1
5.333333333333333,1
5.0,1
4.277777777777778,1
7.125,1
5.9,0
3.875,1
7.428571428571429,1
4.0,1
3.25,1
3.857142857142857,1
6.875,1
6.0,0
9.0,1
4.111111111111111,1
1.9166666666666667,1
4.5,1
5.2,1
3.9166666666666665,1
9.0,1
4.4,1
3.3,1
4.5,1
5.0,1
5.2727272727272725,1
4.1,1
4.5,1
2.85,1
6.0,1
1.4375,1
