Net-Reward,Reached
2.1875,0
4.166666666666667,1
0.0,0
1.875,0
4.0,1
1.1,0
4.0,1
1.9166666666666667,0
-0.08333333333333333,0
-0.07142857142857142,0
0.75,0
5.5,1
0.0,0
1.6666666666666667,0
-0.3125,0
4.3,1
4.0,1
3.6666666666666665,1
3.4285714285714284,1
3.111111111111111,1
4.9,1
4.6,1
2.9,1
3.4285714285714284,1
4.875,1
4.5,1
3.111111111111111,1
4.25,1
4.166666666666667,1
4.0,1
3.4285714285714284,1
4.5,1
3.25,1
3.5,1
3.6666666666666665,1
4.0,1
3.4285714285714284,1
3.111111111111111,1
3.05,1
4.5,1
3.6666666666666665,1
4.0,1
3.5,1
5.25,1
4.0,1
3.125,1
4.5,1
4.0,1
3.6666666666666665,1
2.9,1
3.4285714285714284,1
3.4285714285714284,1
4.0,1
4.5,1
4.0,1
4.5,1
4.5,1
4.333333333333333,1
3.125,1
3.6666666666666665,1
2.9375,1
3.0,1
4.5,1
5.1,1
4.416666666666667,1
3.0,1
3.111111111111111,1
3.3333333333333335,1
4.3,1
3.0714285714285716,1
3.0,1
3.111111111111111,1
3.111111111111111,1
2.8125,1
3.25,1
3.642857142857143,1
3.0,1
4.5,1
2.3333333333333335,1
3.9166666666666665,1
3.4285714285714284,1
3.1,0
4.5,1
3.4375,1
3.4285714285714284,1
3.0,1
3.6666666666666665,1
3.5,1
4.5,1
3.25,1
4.5,1
3.0,1
2.75,1
3.111111111111111,1
2.6,1
3.8,1
4.333333333333333,1
6.875,1
3.25,1
2.75,1
