Net-Reward,Reached
2.625,0
1.4166666666666667,0
0.0,0
4.25,1
3.4285714285714284,1
1.25,0
3.5,1
4.0,1
4.1,1
3.142857142857143,1
3.875,1
3.6666666666666665,1
4.5,1
3.25,1
4.5,1
5.1,1
4.5,1
3.5,1
3.0,1
5.5,1
4.0,1
3.9166666666666665,1
4.5,1
3.6666666666666665,1
4.9,1
1.2,0
0.0,0
0.4375,0
0.5,0
0.0,0
0.14285714285714285,0
1.875,0
0.0,0
2.125,0
2.5,1
0.1,0
0.5,0
0.22727272727272727,0
0.3333333333333333,0
0.75,0
0.3,0
0.5,0
-0.16666666666666666,0
0.08333333333333333,0
0.8,0
-0.4,0
1.0,0
2.375,0
0.875,0
0.75,0
0.4,0
0.2,0
0.0,0
0.6,0
0.7142857142857143,0
0.8,0
2.3333333333333335,0
2.1875,0
2.3333333333333335,0
2.0833333333333335,1
2.4166666666666665,1
3.875,1
2.0,0
0.0,0
0.6,0
0.5833333333333334,0
1.0,0
1.0,0
0.3333333333333333,0
-0.14285714285714285,0
1.5,0
-0.1111111111111111,0
0.0,0
3.875,1
0.375,0
1.4,0
0.8,0
1.5,0
1.3,0
0.6,0
2.142857142857143,0
0.8333333333333334,0
1.0,0
3.4375,1
3.0,0
3.2857142857142856,1
0.16666666666666666,0
-0.08333333333333333,0
0.5,0
1.875,0
0.3333333333333333,0
0.4,0
2.4,0
1.9,0
2.0,0
1.2727272727272727,0
2.0,0
1.0,0
1.5,0
2.4,0
