Net-Reward,Reached
-0.8125,0
1.2857142857142858,0
5.875,1
1.625,0
-0.4375,0
3.5,1
1.3,0
3.8,1
1.875,0
0.0,0
4.5,1
1.5,0
3.9375,1
4.5,1
4.0,1
3.5,1
4.5,1
2.3125,1
2.357142857142857,1
4.5,1
3.5,1
3.15,1
2.111111111111111,1
3.1875,1
4.5,1
4.5,1
4.5,1
3.6666666666666665,1
3.1,1
1.0,1
3.0833333333333335,1
3.9166666666666665,1
2.875,0
3.6666666666666665,1
5.166666666666667,1
5.625,1
4.1,1
4.625,1
3.0,0
0.9285714285714286,0
3.625,1
3.1,1
1.9285714285714286,1
2.9,0
3.5,1
3.1666666666666665,1
1.75,1
3.05,1
4.0,1
3.0,1
5.666666666666667,1
5.5,1
3.375,1
4.6,1
5.2,1
2.7,0
1.45,1
3.0,0
3.8333333333333335,1
1.125,0
3.875,1
4.3,1
3.5833333333333335,1
3.5625,1
4.833333333333333,1
2.0,0
4.875,1
2.2222222222222223,1
2.8333333333333335,0
3.8,0
4.3,1
1.9,0
3.1666666666666665,0
4.375,1
3.5,0
1.9285714285714286,1
6.3,0
1.5714285714285714,1
2.6,1
3.4,1
2.2222222222222223,1
3.05,1
2.4,0
3.857142857142857,0
5.25,1
3.4,0
3.5833333333333335,1
1.75,0
1.5,0
3.625,1
2.125,0
1.875,0
2.9,0
2.5,1
5.25,1
3.5,0
4.2,0
5.0,1
2.4375,1
1.9,0
